#options: 360x240 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:-1:-1 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.15 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc=cqp mbtree=0 qp=23 ip_ratio=1.40 pb_ratio=1.30 aq=0
in:0 out:0 type:I dur:2 cpbdur:2 q:20.00 tex:93397 mv:9772 misc:5351 imb:345 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:23.00 tex:16577 mv:228 misc:331 imb:4 pmb:176 smb:165 d:- ref:0 ;
in:5 out:2 type:P dur:2 cpbdur:2 q:23.00 tex:1476 mv:88 misc:332 imb:0 pmb:52 smb:293 d:- ref:0 ;
in:3 out:3 type:B dur:2 cpbdur:2 q:24.00 tex:26 mv:14 misc:136 imb:0 pmb:4 smb:341 d:- ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:25.00 tex:18 mv:4 misc:114 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:9 out:6 type:P dur:2 cpbdur:2 q:23.00 tex:7269 mv:97 misc:394 imb:0 pmb:144 smb:201 d:- ref:0 ;
in:7 out:7 type:B dur:2 cpbdur:2 q:24.00 tex:2 mv:17 misc:165 imb:0 pmb:6 smb:339 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:3 misc:117 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:23.00 tex:6675 mv:143 misc:398 imb:0 pmb:152 smb:193 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:23.00 tex:211 mv:25 misc:188 imb:0 pmb:9 smb:336 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:23.00 tex:1707 mv:66 misc:355 imb:0 pmb:57 smb:288 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:23.00 tex:5829 mv:180 misc:375 imb:2 pmb:129 smb:214 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:24.00 tex:95 mv:31 misc:186 imb:0 pmb:10 smb:335 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:25.00 tex:125 mv:33 misc:178 imb:0 pmb:11 smb:334 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:25.00 tex:1 mv:4 misc:115 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:23.00 tex:1021 mv:52 misc:295 imb:0 pmb:34 smb:311 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:23.00 tex:589 mv:34 misc:257 imb:0 pmb:20 smb:325 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:23.00 tex:312 mv:30 misc:218 imb:0 pmb:13 smb:332 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:23.00 tex:3470 mv:87 misc:379 imb:0 pmb:90 smb:255 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:24.00 tex:1 mv:8 misc:135 imb:0 pmb:2 smb:343 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:25.00 tex:260 mv:53 misc:223 imb:0 pmb:18 smb:327 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:23.00 tex:323 mv:23 misc:206 imb:0 pmb:9 smb:336 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:23.00 tex:76 mv:9 misc:139 imb:0 pmb:3 smb:342 d:- ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:23.00 tex:27 mv:4 misc:137 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:23.00 tex:919 mv:54 misc:267 imb:0 pmb:33 smb:312 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:25.00 tex:184 mv:21 misc:163 imb:0 pmb:7 smb:338 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:23.00 tex:1130 mv:75 misc:307 imb:0 pmb:43 smb:302 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:24.00 tex:9 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:23.00 tex:206 mv:27 misc:191 imb:0 pmb:9 smb:336 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:24.00 tex:1 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:4 misc:116 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:23.00 tex:2400 mv:85 misc:363 imb:0 pmb:65 smb:280 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:24.00 tex:9 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:62 out:59 type:P dur:2 cpbdur:2 q:23.00 tex:1152 mv:69 misc:307 imb:0 pmb:39 smb:306 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:24.00 tex:1 mv:3 misc:124 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:23.00 tex:125 mv:15 misc:172 imb:0 pmb:5 smb:340 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:23.00 tex:229 mv:17 misc:178 imb:0 pmb:7 smb:338 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:24.00 tex:9 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:23.00 tex:9 mv:3 misc:140 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:23.00 tex:669 mv:55 misc:268 imb:0 pmb:27 smb:318 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:25.00 tex:1 mv:4 misc:115 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:23.00 tex:106 mv:19 misc:179 imb:0 pmb:5 smb:340 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:24.00 tex:1 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:25.00 tex:1 mv:3 misc:116 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:23.00 tex:253 mv:34 misc:201 imb:1 pmb:9 smb:335 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:23.00 tex:689 mv:52 misc:275 imb:0 pmb:25 smb:320 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:24.00 tex:9 mv:4 misc:123 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:23.00 tex:21 mv:3 misc:136 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:23.00 tex:43 mv:6 misc:143 imb:0 pmb:2 smb:343 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:23.00 tex:1895 mv:81 misc:360 imb:0 pmb:66 smb:279 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:24.00 tex:36 mv:10 misc:138 imb:0 pmb:3 smb:342 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:25.00 tex:171 mv:38 misc:183 imb:0 pmb:11 smb:334 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:23.00 tex:245 mv:24 misc:203 imb:0 pmb:9 smb:336 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:23.00 tex:22 mv:3 misc:135 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
